,0
153,430126.03630952386
154,628394.0
155,885276.5
156,1182268.0
157,2031575.0
158,1456767.0
159,1533053.0
160,1216732.5
161,1583234.5
162,2146274.0
163,1665590.5
164,1401764.5
165,1450755.0
166,3404394.364
167,1810280.5
168,791473.775
169,1527159.5
170,584974.2083333334
171,1417239.6666666667
172,2334462.1
173,1953097.0
174,2065062.0
175,633991.0714285714
176,2138922.0
177,2770857.644
178,2359844.4
179,1807502.5
180,790010.4583333334
181,2119476.0
182,1350814.5
183,1412378.995
184,580741.0547619049
185,459971.57857142854
186,515792.9166666666
187,330522.75661904766
188,681589.0
189,718103.4
190,1872851.3
191,609284.1916666667
192,621768.5
193,1287511.0
194,510292.14535714296
195,1401287.0
196,1360164.0
197,1395590.388
198,1934367.0
199,494344.43928571447
200,876470.25
201,568934.7988095239
202,506284.425
203,479613.3197619047
204,537519.25
205,425630.1388888889
206,1097793.52
207,1117726.5
208,1729154.388
209,1037568.5
210,991434.0
211,1582099.0
212,910305.0
213,864700.5
214,838918.5
215,1415193.0
216,1630146.1
217,1207343.2
218,918356.0
219,1084465.5
220,1002570.0
221,536879.2083333333
222,893056.0
223,821616.5
224,1232989.3
225,1254793.0
226,1045340.5
227,1566994.0
228,1207809.9
229,923937.5
230,817093.0
231,508824.0
232,590319.0
233,1006346.0
234,1090129.0
235,958549.0
236,741731.5
237,1629490.9894761906
238,1381400.3666666667
239,1147302.0
240,998548.0
241,1250021.75
242,1191088.5
243,1236364.25
244,890475.5
245,809021.04
246,2326599.5
247,1279169.5
248,514494.60119047615
249,955208.65
250,1277865.5
251,604121.9892857143
252,1109293.44
253,1219228.276
254,948980.8
255,1403126.8
256,963554.0
257,1578513.0
258,1666289.533333333
259,1255336.49
260,491068.2401118325
261,818748.25
262,663510.1894047618
263,674154.642857143
264,467775.61641414143
265,1192697.5
266,589967.5511904763
267,1127088.198
268,582615.4095238097
269,475524.93666666665
270,425184.9
271,370524.5833333334
272,745125.5
273,525818.9940476192
274,561273.5880952382
275,1246006.5
276,2037187.0
277,837864.6
278,2383177.0
279,1126661.0
280,803793.864285714
281,1447456.5
282,1985573.5
283,523600.29734127
284,1734567.596
285,537269.0071428571
286,435879.25277777785
287,805244.927579365
288,370524.5833333334
289,1823269.6
290,722470.5
291,1070066.5
292,391962.10714285716
293,648732.6904761905
294,570569.3750000001
295,923420.0
296,2157480.0
297,1641042.1666666667
298,512640.25238095236
299,1290923.9
300,1028820.53
301,708357.4059523809
302,1314771.56
303,2345262.3
304,411820.0327922077
305,1163229.3
306,419423.19999999995
307,708067.9
308,428001.7083333332
309,910163.5
310,531686.9333333333
311,815793.5
312,667867.8333333333
313,713896.5999999999
314,720843.6
315,881084.5
316,2218812.7
317,2838579.5
318,1998690.0
319,3427596.864
320,2126669.0
321,2871337.0
322,1618110.5
323,1658727.5000000002
324,2069226.9
325,2008051.8333333333
326,1678230.0
327,2601613.3
328,2108230.0
329,2327597.0
330,2292733.5
331,1519743.6428571425
332,650949.0
333,779209.0
334,499376.8333333334
335,860273.0
336,707678.0
337,916262.5
338,764503.0
339,715222.8
340,774103.3
341,811157.0
342,571973.0
343,776067.5
344,646585.0
345,1065463.2
346,770489.0
347,916868.9
348,667314.1
349,818449.1
350,747616.5
351,623351.7
352,885718.5
353,589622.0
354,795256.275
355,543614.0190476192
356,2305995.0
357,1320239.5
358,745247.9583333333
359,799864.5
360,2179629.5
361,442168.03690476203
362,491376.25
363,468150.29178571416
364,407009.3333333333
365,378501.29206349206
366,1842748.5
367,625435.3011904763
368,3508380.0
369,1469680.0
370,684369.9952380953
371,1306201.497
372,1152567.0
373,929128.5
374,1063973.5
375,664668.8
376,911618.5
377,723898.0
378,1082496.0
379,950131.0
380,920962.3
381,1826739.0
382,2317739.0
383,779695.5
384,969269.5
385,543814.2666666667
386,1815131.4
387,567106.5928571428
388,354381.86666666664
389,1618055.776
390,1241298.7
391,813620.5
392,885592.5
393,1161897.0
394,931797.0
395,1039003.75
396,911812.5
397,1166058.75
398,811016.0
399,809287.0
400,355157.5
401,515302.18
402,460437.755
403,1638472.0
404,1056813.0
405,1142686.0
406,708458.6476190479
407,578501.9749999999
408,592064.288
409,1196157.0
410,1401330.5
411,1478585.0
412,1734931.0
413,2357672.8
414,1333772.0
415,578212.3333333334
416,2779140.0
417,1439740.3333333335
418,1735079.6666666665
419,2562618.5
420,2253239.6
421,1986501.1
422,1704280.0
423,757907.3
424,1739858.5
425,775957.0
426,1066768.5
427,2479165.464
428,1742507.3333333333
429,1430870.0
430,1955186.0
431,1294018.0
432,1017983.0
433,3204249.572
434,887228.4
435,1027654.4
436,1785469.0
437,1847903.0
438,1510704.1666666665
439,1404382.0
440,431119.73333333334
441,1307679.1
442,1476941.5
443,793212.3333333333
444,891573.5
445,688666.5
446,1581320.5
447,1019120.832
448,700198.0
449,2589394.0
450,564713.8654761906
451,826447.5
452,829603.333
453,1211659.0
454,480764.6095238096
455,601543.4607142858
456,2390616.0
457,844847.5
458,1246870.842857143
459,1690421.2
460,749194.0
461,260937.2333333333
462,1010799.21
463,909759.5
464,273940.6666666666
465,1017282.0
466,1302103.4
467,1853356.5
468,1026443.5
469,976881.75
470,1111883.4
471,1373178.497
472,1167296.5
473,1606221.2333333334
474,839205.5
475,467775.61641414143
476,1285901.5
477,1304399.5
478,2245604.0
479,1366824.076190476
480,876033.0
481,2265361.633333333
482,676995.0
483,964660.2666666667
484,968585.0
485,1292920.5
486,1113462.6666666665
487,972826.5
488,536879.2083333333
489,531686.9333333333
490,510521.045
491,339112.6768571429
492,528466.5
493,1092176.8
494,449338.10261904757
495,909994.5
496,898420.0
497,990225.5
498,641378.25
499,418234.21428571426
500,825645.0
501,1215252.0
502,971108.0
503,1019449.5
504,1532081.4
505,562208.39
506,849013.5
507,777699.994
508,1346539.4
509,639193.5
510,578206.0
511,511412.51666666666
512,406537.99999999994
513,918855.0
514,1345177.9
515,1500251.5
516,1037298.0
517,920273.5
518,620975.5
519,1171682.2
520,1139051.5
521,805129.5
522,569564.6
523,1144992.2
524,1022823.5
525,543534.0
526,856960.0
527,900597.8
528,1081163.5
529,1113877.5
530,2525232.0
531,1508286.0
532,509838.0583333333
533,854378.7
534,597043.2757936508
535,883106.0
536,1133505.5
537,1054014.0
538,1036110.5
539,1691795.0
540,473622.0714285714
541,966970.5
542,844266.3892857142
543,1955977.0
544,714333.4833333334
545,1058568.7
546,433616.338095238
547,1170151.5
548,911721.5
549,1516546.0
550,774854.5
551,1316341.2
552,548476.5833333334
553,791170.5
554,1118841.6
555,446095.73214285716
556,467926.25
557,859318.5
558,777742.5
559,1075703.0
560,513387.23809523816
561,822867.5
562,1400786.833
563,471300.7333333334
564,830449.0
565,770187.7
566,797281.0
567,894535.5
568,775171.5
569,454977.5
570,757946.2
571,450006.02
572,795122.5
573,740327.3866666667
574,490236.3690476191
575,916774.0
576,430376.0
577,687621.0
578,868679.0
579,1052999.0
580,1179973.5
581,754829.0
582,451816.75
583,282647.1738095237
584,812272.5
585,580810.5
586,433764.2333333333
587,1055984.0
588,897676.2
589,1380507.7
590,1706853.2
591,446242.65317460254
592,492984.1
593,1131894.7
594,1047279.09
595,579703.7500000001
596,450921.27857142914
597,877486.4
598,1325534.5
599,710539.3
600,736586.3333333334
601,818064.0
602,1722025.5
603,555392.1892857142
604,1283252.5625
605,530184.0416666666
606,1208767.3125
607,511139.43452380947
608,719174.9
609,647478.6261904762
610,736481.0
611,1131047.7833333332
612,1026693.8
613,1661772.888
614,868378.5
615,1112417.0
616,894374.0
617,1003913.0
618,1090775.0
619,752547.0
620,911057.0
621,1490037.1
622,1276180.48
623,1281729.0
624,1194993.4
625,1312287.5
626,755557.607142857
627,636663.0
628,801037.6
629,1041035.5
630,633530.1392857141
631,386281.5
632,391962.10714285716
633,393757.91190476174
634,585710.361111111
635,724907.5
636,956180.0
637,1055965.0
638,1068902.0
639,542502.2199134199
640,945387.1547619049
641,424015.7706349203
642,582615.4095238097
643,1430168.5
644,960765.0
645,386824.57499999995
646,468788.2866666666
647,1411105.5
648,1241977.5
649,478136.77777777775
650,713950.0
651,1206224.0
652,1261986.0
653,1309931.6333333333
654,1008289.0
655,1240421.0
656,1861146.0
657,844622.0
658,934384.0
659,780509.5
660,925548.1
661,1157181.5
662,1082185.0
663,832579.3
664,922196.5
665,745560.1
666,893325.5
667,698203.1
668,715153.5
669,1707019.0
670,2572482.4
671,967749.5
672,2127430.0
673,575937.75
674,2795255.0
675,662179.9285714285
676,1848084.1666666663
677,1774338.5
678,1087788.75
679,2179522.0
680,1182025.75
681,756107.5
682,1232490.0
683,1297586.75
684,1234961.9666666668
685,548929.5
686,1017716.0
687,379526.3333333334
688,932956.0
689,707182.5
690,940900.0
691,1428891.7
692,449568.72
693,1253494.2
694,764962.0
695,289715.75
696,487266.10714285716
697,2495756.5
698,1782975.0
699,325045.35833333334
700,805449.5
701,1462661.5666666664
702,967068.5
703,1275434.0
704,1509860.984
705,1144358.5
706,938136.0
707,555373.7547619047
708,916161.5
709,1366093.5
710,490402.8595238096
711,1105183.0
712,735268.8
713,2410438.5
714,962949.5
715,441028.99166666664
716,370524.5833333334
717,1071408.55
718,2359593.0
719,1510044.0
720,468976.71726190485
721,603758.0428571429
722,1701757.4761904764
723,1104174.8
724,1084772.0
725,1216645.0
726,839212.5
727,675226.5
728,816031.0
729,815529.0
730,839165.0
731,555928.3333333334
732,525821.8583333334
733,715646.0
734,1738457.9
735,895353.5
736,861798.5
737,795481.9
738,873866.5
739,1531009.0
740,1261233.8333333335
741,1168002.0
742,677064.7
743,484745.667857143
744,2410886.0
745,1265522.0
746,806947.22
747,1169207.0
748,1011547.0
749,1020005.1
750,1056274.5
751,1193304.2
752,368419.91666666674
753,1278008.0
754,958956.5
755,1049009.5
756,915368.5
757,1202012.0
758,1122480.0
759,368704.63333333336
760,868594.0
761,975782.5
762,772797.5
763,610919.5
764,1251575.5
765,891096.4
766,649204.0
767,860322.5
768,587295.5
769,705596.2
770,679545.0
771,1586845.548
772,504748.20562770567
773,420193.04761904763
774,1945157.8333333333
775,1404455.4
776,818998.4
777,2122967.888
778,849226.5
779,2940511.6
780,1535692.98
781,581499.0
782,635563.9
783,573288.75
784,1194370.5
785,705764.5
786,884056.0
787,1116733.75
788,759901.6
789,494668.0
790,1404381.499
791,722150.0
792,1128831.0
793,1143996.246
794,412126.551190476
795,497001.98214285704
796,380192.9960317461
797,1151608.0
798,1011068.5
799,1193446.366
800,518746.0
801,1096339.5
802,846911.0
803,364986.8166666667
804,973698.0
805,1244199.0
806,946091.5
807,896388.5
808,717151.0
809,1110617.5
810,725371.5
811,935732.5
812,669968.0
813,908591.5
814,967848.0
815,953527.5
816,1165925.5
817,1026736.0
818,1371846.9
819,1775550.0
820,1453593.6
821,404783.9666666666
822,931557.5
823,1104960.499
824,370524.5833333334
